Cena za m2,Poziom,Umeblowanie,Rynek,Rodzaj zabudowy,Powierzchnia,Liczba pokoi
13750.0,1,Tak,Wtórny,Blok,52.0,2
11063.83,1,Tak,Wtórny,Apartamentowiec,94.0,3
6885.25,1,Tak,Wtórny,Blok,61.0,4
6461.54,3,Nie,Pierwotny,Blok,78.0,3
1896.55,2,Tak,Wtórny,Blok,58.0,3
5562.5,Parter,Nie,Wtórny,Blok,80.0,3
30.0,3,Tak,Wtórny,Blok,100.0,4
8297.87,1,Tak,Wtórny,Pozostałe,94.0,3
11610.17,2,Tak,Wtórny,Kamienica,59.0,3
6324.11,4,Nie,Wtórny,Blok,50.6,2
6843.14,8,Tak,Wtórny,Blok,51.0,3
4806.34,2,Tak,Pierwotny,Blok,56.8,2
5357.14,2,Nie,Wtórny,Kamienica,42.0,2
7239.58,2,Tak,Wtórny,Kamienica,96.0,3
9633.33,2,Tak,Wtórny,Kamienica,30.0,1
25811.32,3,Nie,Wtórny,Kamienica,53.0,2
7441.86,3,Tak,Wtórny,Blok,43.0,2
10227.27,1,Nie,Pierwotny,Apartamentowiec,44.0,2
9800.0,3,Nie,Pierwotny,Apartamentowiec,35.0,2
9623.43,4,Tak,Wtórny,Blok,47.8,3
6152.73,4,Tak,Wtórny,Blok,55.26,3
12216.99,3,Nie,Pierwotny,Blok,44.61,2
5846.5,4,Tak,Wtórny,Blok,44.3,2
16195.65,3,Tak,Wtórny,Kamienica,92.0,3
4666.67,Parter,Nie,Wtórny,Pozostałe,60.0,3
3365.38,Parter,Nie,Wtórny,Blok,62.4,3
5569.31,1,Tak,Wtórny,Blok,40.4,1
5555.56,3,Tak,Wtórny,Blok,36.0,1
9000.0,3,Tak,Wtórny,Blok,61.0,3
6956.52,1,Tak,Wtórny,Blok,46.0,2
6276.22,3,Tak,Wtórny,Blok,57.2,3
22099.45,2,Tak,Wtórny,Blok,52.49,3
7781.25,4,Tak,Wtórny,Blok,64.0,3
7696.13,2,Nie,Pierwotny,Blok,40.28,2
6492.06,4,Nie,Wtórny,Blok,63.0,3
6072.46,2,Nie,Wtórny,Blok,69.0,3
9484.62,Parter,Nie,Pierwotny,Apartamentowiec,51.03,3
3357.89,1,Nie,Pierwotny,Pozostałe,95.0,4
7478.26,1,Tak,Pierwotny,Blok,57.5,3
5688.17,Parter,Tak,Wtórny,Pozostałe,93.0,4
3754.72,2,Nie,Wtórny,Blok,53.0,2
14264.92,3,Tak,Wtórny,Apartamentowiec,34.35,1
5693.88,4,Nie,Wtórny,Blok,49.0,3
10549.4,1,Tak,Wtórny,Blok,47.87,2
6271.43,4,Tak,Wtórny,Blok,70.0,3
19751.69,Parter,Tak,Wtórny,Apartamentowiec,88.6,3
8613.64,2,Nie,Wtórny,Blok,44.0,2
9892.76,4,Tak,Wtórny,Blok,37.3,2
12037.04,5,Nie,Wtórny,Kamienica,54.0,3
6555.56,2,Tak,Wtórny,Blok,45.0,2
7354.63,2,Tak,Pierwotny,Blok,61.05,3
8354.84,6,Tak,Wtórny,Blok,31.0,1
20657.89,2,Nie,Wtórny,Blok,53.2,2
8604.65,1,Tak,Wtórny,Blok,43.0,2
4650.0,4,Nie,Wtórny,Blok,50.16,2
22242.99,3,Tak,Wtórny,Blok,53.5,2
6201.55,3,Nie,Pierwotny,Blok,64.5,3
6338.03,3,Tak,Wtórny,Blok,49.7,3
12800.0,Parter,Tak,Wtórny,Blok,50.0,2
10754.72,1,Tak,Wtórny,Blok,53.0,2
5175.07,3,Tak,Wtórny,Blok,45.41,2
9433.14,1,Tak,Wtórny,Blok,68.8,3
7195.12,2,Tak,Wtórny,Kamienica,41.0,2
7288.96,3,Nie,Wtórny,Blok,61.6,3
18055.56,8,Tak,Wtórny,Blok,36.0,2
6432.9,2,Tak,Wtórny,Blok,77.57,3
5294.4,9,Nie,Wtórny,Blok,62.33,4
16666.67,Parter,Tak,Pierwotny,Apartamentowiec,36.0,2
7480.77,2,Nie,Wtórny,Blok,52.0,3
17765.93,2,Tak,Wtórny,Apartamentowiec,45.03,2
12285.71,1,Tak,Wtórny,Blok,70.0,3
5409.58,4,Tak,Wtórny,Blok,64.7,3
12500.0,Parter,Tak,Wtórny,Blok,44.0,2
15449.37,3,Tak,Wtórny,Kamienica,43.95,2
5343.76,2,Tak,Wtórny,Kamienica,93.38,3
9444.44,Parter,Tak,Wtórny,Blok,45.0,2
8063.83,1,Tak,Wtórny,Kamienica,47.0,2
9090.89,2,Nie,Wtórny,Blok,55.0,3
8544.52,3,Tak,Wtórny,Blok,58.4,3
6224.49,1,Nie,Wtórny,Blok,49.0,3
5606.06,Parter,Nie,Wtórny,Blok,33.0,2
19077.25,1,Tak,Wtórny,Blok,46.6,2
12045.45,1,Tak,Wtórny,Blok,44.0,2
6470.59,Parter,Tak,Wtórny,Blok,17.0,1
6710.53,Parter,Tak,Wtórny,Blok,38.0,2
5496.32,4,Tak,Wtórny,Blok,54.4,3
5217.39,2,Tak,Wtórny,Blok,46.0,2
13277.16,3,Nie,Wtórny,Blok,78.33,2
8171.21,Parter,Nie,Wtórny,Blok,64.25,4
11851.85,3,Tak,Wtórny,Blok,54.0,2
9106.43,Parter,Nie,Wtórny,Blok,35.14,2
7823.53,1,Nie,Wtórny,Kamienica,51.0,2
4654.42,4,Nie,Wtórny,Blok,64.24,3
13716.81,Parter,Nie,Wtórny,Blok,33.9,1
15797.93,3,Tak,Wtórny,Blok,56.02,3
7794.12,3,Tak,Wtórny,Blok,34.0,2
5524.86,1,Tak,Wtórny,Kamienica,36.2,2
4212.12,1,Tak,Wtórny,Kamienica,33.0,1
6542.06,4,Nie,Wtórny,Blok,42.8,2
10267.67,1,Tak,Wtórny,Apartamentowiec,46.7,3
4680.85,1,Nie,Wtórny,Pozostałe,47.0,2
6467.53,4,Tak,Wtórny,Blok,38.5,2
2588.24,1,Nie,Wtórny,Blok,51.0,2
5769.53,2,Tak,Wtórny,Blok,64.13,3
12000.0,Parter,Nie,Wtórny,Kamienica,50.0,2
7637.91,4,Tak,Wtórny,Blok,70.7,4
8391.3,3,Tak,Wtórny,Blok,69.0,3
7082.15,3,Nie,Wtórny,Blok,60.01,3
8976.41,1,Tak,Wtórny,Blok,50.02,2
9633.03,Parter,Nie,Wtórny,Blok,43.6,2
8900.0,2,Nie,Pierwotny,Apartamentowiec,27.97,1
7291.67,4,Tak,Wtórny,Blok,48.0,3
8871.81,4,Tak,Wtórny,Blok,46.18,2
13977.78,Parter,Tak,Wtórny,Blok,45.0,2
5132.45,4,Tak,Wtórny,Blok,60.4,3
6745.76,4,Tak,Wtórny,Blok,59.0,3
8500.0,Parter,Nie,Pierwotny,Apartamentowiec,43.65,2
2687.5,1,Tak,Wtórny,Blok,80.0,3
6718.75,4,Tak,Wtórny,Blok,64.0,3
9216.59,1,Tak,Wtórny,Blok,43.4,2
7899.84,Parter,Nie,Pierwotny,Apartamentowiec,67.09,4
5400.98,2,Tak,Wtórny,Blok,61.1,3
8000.0,Parter,Tak,Wtórny,Apartamentowiec,70.0,3
6715.83,3,Tak,Wtórny,Blok,37.97,2
6835.62,4,Tak,Wtórny,Blok,73.0,3
60.0,1,Tak,Pierwotny,Apartamentowiec,40.0,2
5497.84,8,Tak,Wtórny,Blok,46.2,2
7439.2,1,Nie,Pierwotny,Apartamentowiec,69.9,3
14912.28,4,Tak,Wtórny,Blok,39.9,2
5285.41,2,Nie,Wtórny,Blok,47.3,3
12363.26,1,Tak,Wtórny,Blok,48.45,2
11385.2,3,Nie,Wtórny,Blok,42.16,2
8781.73,Parter,Tak,Wtórny,Kamienica,59.1,4
10157.48,4,Tak,Wtórny,Blok,63.5,3
3980.0,1,Nie,Wtórny,Blok,50.0,2
10710.23,1,Nie,Wtórny,Blok,35.2,1
3499.08,1,Tak,Wtórny,Kamienica,54.3,2
1105.26,1,Nie,Wtórny,Kamienica,38.0,3
7216.7,3,Tak,Wtórny,Blok,51.27,2
13750.0,1,Tak,Wtórny,Blok,52.0,2
6285.71,3,Nie,Wtórny,Blok,35.0,2
5239.27,3,Tak,Wtórny,Kamienica,101.14,4
5328.29,Parter,Nie,Pierwotny,Pozostałe,87.27,4
11705.33,1,Tak,Wtórny,Apartamentowiec,46.56,2
7155.17,1,Tak,Wtórny,Blok,58.0,3
5512.56,3,Nie,Wtórny,Blok,39.0,2
6665.38,2,Tak,Wtórny,Blok,51.76,2
8845.44,3,Nie,Wtórny,Apartamentowiec,53.7,3
4846.97,1,Tak,Wtórny,Blok,72.21,3
5000.0,1,Tak,Wtórny,Blok,54.0,2
8845.44,3,Nie,Wtórny,Apartamentowiec,53.7,3
4785.71,4,Tak,Wtórny,Blok,70.0,4
6074.14,1,Nie,Wtórny,Kamienica,52.6,2
13912.13,9,Tak,Wtórny,Blok,47.8,3
3513.51,1,Tak,Wtórny,Kamienica,37.0,2
7377.84,Parter,Tak,Wtórny,Pozostałe,82.68,3
11011.24,Parter,Tak,Wtórny,Pozostałe,44.5,2
8139.53,Parter,Nie,Wtórny,Kamienica,43.0,2
9022.56,Parter,Nie,Wtórny,Blok,39.9,2
20789.47,1,Tak,Wtórny,Blok,38.0,2
8082.17,1,Tak,Wtórny,Blok,59.39,3
11872.15,1,Nie,Wtórny,Blok,65.7,3
5104.71,3,Tak,Wtórny,Kamienica,38.2,2
6875.0,4,Nie,Wtórny,Blok,48.0,3
4676.46,1,Nie,Wtórny,Blok,52.39,3
5840.63,2,Tak,Wtórny,Blok,47.94,2
15023.47,3,Tak,Wtórny,Blok,42.6,2
10246.91,Parter,Tak,Wtórny,Blok,40.5,2
14893.62,Parter,Tak,Wtórny,Blok,23.5,1
5569.01,3,Tak,Wtórny,Kamienica,41.3,2
7483.8,3,Nie,Pierwotny,Apartamentowiec,50.92,2
12915.9,4,Nie,Wtórny,Blok,43.28,3
18360.66,3,Tak,Wtórny,Blok,61.0,3
16913.32,4,Nie,Wtórny,Blok,23.65,1
10404.26,Powyżej10,Tak,Wtórny,Blok,47.0,2
7638.89,4,Tak,Wtórny,Blok,72.0,3
5693.88,4,Nie,Wtórny,Blok,49.0,3
10446.15,3,Tak,Wtórny,Blok,65.0,4
7437.5,2,Nie,Pierwotny,Apartamentowiec,40.0,2
8395.06,1,Tak,Wtórny,Blok,40.5,2
16255.81,5,Tak,Wtórny,Kamienica,43.0,3
7125.0,1,Nie,Pierwotny,Pozostałe,80.0,4
15468.75,1,Tak,Wtórny,Blok,32.0,2
3905.2,2,Tak,Wtórny,Blok,37.13,1
6369.43,2,Tak,Wtórny,Blok,31.4,1
12115.37,Powyżej10,Nie,Wtórny,Blok,52.0,3
5192.31,2,Tak,Wtórny,Blok,52.0,3
9224.75,3,Tak,Wtórny,Blok,53.66,2
10500.0,Parter,Nie,Wtórny,Blok,80.0,3
18534.32,6,Nie,Wtórny,Blok,53.9,3
8854.84,7,Tak,Wtórny,Blok,62.0,3
5050.51,1,Nie,Wtórny,Kamienica,49.5,3
4533.68,Parter,Nie,Pierwotny,Blok,38.6,2
9315.71,3,Tak,Wtórny,Blok,64.3,3
6124.14,4,Tak,Wtórny,Blok,48.17,3
11428.57,2,Tak,Wtórny,Blok,56.0,2
10982.14,3,Tak,Wtórny,Blok,56.0,3
18666.67,3,Tak,Wtórny,Blok,45.0,3
4504.82,Parter,Nie,Pierwotny,Blok,57.05,3
11376.73,2,Tak,Wtórny,Blok,34.72,2
5285.41,2,Nie,Wtórny,Blok,47.3,3
5964.67,8,Tak,Wtórny,Blok,61.0,3
4537.04,Parter,Nie,Wtórny,Pozostałe,54.0,2
7142.86,8,Tak,Pierwotny,Blok,63.0,3
6774.19,1,Tak,Wtórny,Kamienica,62.0,3
5565.66,Parter,Tak,Wtórny,Blok,27.49,1
5065.0,1,Tak,Wtórny,Blok,59.23,3
4886.36,4,Nie,Wtórny,Blok,44.0,2
5897.44,4,Nie,Wtórny,Blok,58.5,3
4021.74,1,Tak,Wtórny,Kamienica,46.0,1
4259.26,2,Tak,Wtórny,Blok,54.0,3
3627.27,2,Nie,Wtórny,Pozostałe,110.0,4
7976.19,1,Tak,Wtórny,Blok,42.0,1
5344.36,Parter,Nie,Wtórny,Blok,44.72,3
3812.95,Parter,Tak,Wtórny,Blok,69.5,2
6215.05,6,Tak,Wtórny,Blok,46.5,2
6200.0,Parter,Nie,Pierwotny,Pozostałe,65.51,3
8000.0,1,Nie,Wtórny,Apartamentowiec,70.0,2
7166.39,1,Tak,Wtórny,Blok,60.7,3
9246.15,2,Nie,Wtórny,Blok,48.02,3
3592.81,Parter,Nie,Wtórny,Blok,50.1,2
8606.06,Parter,Nie,Wtórny,Pozostałe,82.5,2
3476.19,Parter,Nie,Wtórny,Blok,42.0,2
16500.0,2,Nie,Wtórny,Apartamentowiec,42.63,2
7079.81,Parter,Nie,Wtórny,Blok,54.38,2
6809.52,2,Nie,Wtórny,Blok,63.0,3
13921.9,3,Tak,Wtórny,Blok,58.9,3
5400.0,4,Nie,Wtórny,Blok,55.0,3
9200.0,2,Nie,Wtórny,Blok,54.91,3
12083.33,2,Tak,Wtórny,Blok,48.0,2
1654.41,1,Nie,Wtórny,Kamienica,68.0,2
6979.59,1,Tak,Wtórny,Blok,49.0,2
5468.75,3,Tak,Wtórny,Blok,64.0,3
5785.12,3,Tak,Wtórny,Blok,60.5,3
14240.51,1,Tak,Wtórny,Kamienica,22.12,1
17533.33,1,Tak,Wtórny,Apartamentowiec,45.0,2
5760.34,4,Nie,Wtórny,Blok,58.0,3
7748.69,3,Tak,Wtórny,Blok,47.75,2
10597.01,1,Nie,Pierwotny,Pozostałe,67.0,3
4706.79,Parter,Nie,Wtórny,Kamienica,64.8,3
6755.18,Parter,Tak,Wtórny,Blok,42.93,2
21854.17,3,Tak,Wtórny,Apartamentowiec,48.0,2
9984.24,1,Tak,Wtórny,Blok,57.09,3
14402.17,1,Tak,Wtórny,Blok,36.8,2
5524.86,3,Tak,Wtórny,Blok,90.5,4
9264.71,4,Tak,Wtórny,Blok,34.0,1
7306.93,1,Tak,Wtórny,Blok,50.5,2
2777.78,Parter,Nie,Wtórny,Pozostałe,54.0,2
8386.36,Parter,Tak,Wtórny,Blok,44.0,2
5998.0,3,Nie,Wtórny,Blok,50.0,2
5491.8,9,Tak,Wtórny,Blok,61.0,3
7716.54,3,Tak,Wtórny,Kamienica,63.5,3
7062.5,3,Nie,Wtórny,Blok,48.0,3
5915.49,2,Nie,Wtórny,Kamienica,35.5,2
14999.97,3,Tak,Wtórny,Apartamentowiec,36.0,1
8813.93,5,Nie,Pierwotny,Apartamentowiec,82.71,4
9803.54,2,Tak,Wtórny,Apartamentowiec,50.9,2
6296.3,2,Nie,Wtórny,Blok,27.0,1
16363.64,2,Nie,Wtórny,Kamienica,22.0,1
16728.72,1,Tak,Wtórny,Apartamentowiec,37.6,2
5555.53,4,Tak,Wtórny,Blok,36.0,2
15093.81,5,Tak,Wtórny,Apartamentowiec,35.71,2
10056.25,2,Tak,Wtórny,Apartamentowiec,58.67,3
6888.89,2,Tak,Wtórny,Blok,90.0,4
7755.1,4,Tak,Wtórny,Blok,49.0,3
9977.78,Parter,Tak,Wtórny,Blok,45.0,3
12083.33,2,Tak,Wtórny,Blok,48.0,2
11636.36,4,Tak,Wtórny,Blok,55.0,3
6500.41,2,Nie,Wtórny,Kamienica,97.84,3
8920.0,1,Tak,Wtórny,Blok,75.0,4
19489.8,3,Nie,Wtórny,Blok,39.2,2
5204.08,3,Nie,Wtórny,Blok,49.0,2
6934.4,4,Tak,Wtórny,Blok,40.09,2
7500.0,3,Tak,Wtórny,Blok,50.0,2
8896.1,Parter,Nie,Wtórny,Apartamentowiec,61.6,3
11847.1,1,Tak,Wtórny,Blok,42.12,2
16794.21,1,Tak,Wtórny,Kamienica,48.35,3
9984.24,1,Tak,Wtórny,Blok,57.09,3
8611.11,Parter,Nie,Wtórny,Kamienica,36.0,3
5638.46,2,Tak,Wtórny,Kamienica,39.0,2
8000.0,4,Tak,Wtórny,Blok,57.0,3
10492.32,2,Nie,Pierwotny,Apartamentowiec,41.03,2
10000.0,1,Tak,Wtórny,Blok,34.0,2
4166.67,1,Nie,Wtórny,Pozostałe,84.0,3
5598.0,3,Tak,Wtórny,Blok,50.0,2
5609.76,2,Tak,Wtórny,Blok,41.0,2
5915.49,2,Nie,Wtórny,Kamienica,35.5,2
6587.3,9,Tak,Wtórny,Blok,63.0,3
8025.53,Parter,Nie,Pierwotny,Apartamentowiec,51.71,3
3328.29,1,Tak,Wtórny,Blok,66.1,3
6076.39,3,Tak,Wtórny,Blok,57.6,3
13647.64,9,Tak,Wtórny,Blok,36.27,2
16578.07,Parter,Nie,Wtórny,Blok,30.1,1
5553.33,Poddasze,Tak,Wtórny,Kamienica,45.0,2
14694.44,2,Tak,Wtórny,Blok,36.0,2
5377.36,Parter,Nie,Wtórny,Blok,53.0,3
6989.99,1,Nie,Pierwotny,Blok,52.27,3
7475.0,2,Tak,Wtórny,Blok,40.0,2
6310.53,4,Nie,Wtórny,Blok,38.0,3
6923.08,Parter,Tak,Wtórny,Blok,39.0,1
5185.95,2,Nie,Wtórny,Kamienica,67.49,4
2678.57,Parter,Tak,Wtórny,Blok,28.0,1
10000.0,Parter,Tak,Wtórny,Blok,54.0,3
8921.05,3,Tak,Wtórny,Blok,38.0,2
12720.69,Parter,Tak,Wtórny,Blok,69.1,3
4517.91,1,Tak,Wtórny,Blok,36.3,1
6773.58,2,Nie,Wtórny,Blok,53.0,2
11500.0,2,Nie,Pierwotny,Apartamentowiec,36.7,2
9315.71,3,Tak,Wtórny,Blok,64.3,3
5750.8,1,Nie,Wtórny,Blok,62.6,3
8640.23,4,Tak,Wtórny,Blok,70.6,3
10467.29,1,Tak,Wtórny,Blok,53.5,3
7324.96,Parter,Tak,Wtórny,Blok,52.56,3
9363.64,2,Tak,Wtórny,Kamienica,55.0,3
44.0,1,Tak,Pierwotny,Pozostałe,25000.0,4
13644.0,Parter,Nie,Wtórny,Blok,47.64,3
13103.45,4,Tak,Wtórny,Blok,58.0,3
2596.72,Parter,Tak,Wtórny,Kamienica,57.38,2
3783.78,Parter,Nie,Wtórny,Kamienica,37.0,2
6596.58,Parter,Nie,Pierwotny,Apartamentowiec,76.1,3
5688.17,Parter,Tak,Wtórny,Pozostałe,93.0,4
9388.24,2,Tak,Wtórny,Blok,42.5,2
11351.35,4,Tak,Wtórny,Blok,37.0,2
5949.9,2,Tak,Wtórny,Blok,47.9,3
